snapshot_date,source_url,retrieved_at_utc,registry_number,ticker,registry_name,registrar,registry_nominal,detail_url,has_standard_four_letter_ticker
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,131,BINO,PERMA PLASINDO Tbk,"BIME1 - BIMA REGISTRA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BINO,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,132,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,"FIBU1 - FICOMINDO BUANA REGISTRAR, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BIPI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,133,BIPP,BHUWANATALA INDAH PERMAI Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/BIPP,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,134,BIRD,BLUE BIRD Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BIRD,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,135,BISI,BISI INTERNATIONAL Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BISI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,136,BJBR,BANK JABAR BANTEN Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",250,https://web.ksei.co.id/services/registered-securities/shares/lc/BJBR,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,137,BJTM,BANK PEMBANGUNAN DAERAH JAWA TIMUR Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",250,https://web.ksei.co.id/services/registered-securities/shares/lc/BJTM,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,138,BKDP,BUKIT DARMO PROPERTY Tbk,"SHIN1 - SHARESTAR INDONESIA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BKDP,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,139,BKSL,SENTUL CITY Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",2000,https://web.ksei.co.id/services/registered-securities/shares/lc/BKSL,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,140,BKSW,BANK QNB INDONESIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",250,https://web.ksei.co.id/services/registered-securities/shares/lc/BKSW,True
